summary	Translation	Positive	Negative	EmotionRationale
In lashing out at the prosecution of his adviser Roger Stone the president once again disregarded the attorney generals pleas to stop publicly commenting on individual cases involving his friends	In lashing out at the prosecution of his adviser Roger Stone the president once again disregarded the attorney generals pleas to stop publicly commenting on individual cases involving his friends	2	-2	 In[0] lashing[0] out[0] at[0] the[0] prosecution[-1] of[0] his[0] adviser[0] Roger[0] Stone[0] the[0] president[0] once[0] again[0] disregarded[-1] the[0] attorney[0] generals[0] pleas[0] to[0] stop[0] publicly[0] commenting[0] on[0] individual[0] cases[0] involving[0] his[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
In less than a year so called trottinettes have become an uncontrollable success across the French capital	In less than a year so called trottinettes have become an uncontrollable success across the French capital	3	-2	 In[0] less[0] than[0] a[0] year[0] so[0] called[0] trottinettes[0] have[0] become[0] an[0] uncontrollable[-1] success[2] across the[0] French[0] capital[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
In marked contrast to other European countries Kosovo has a stated policy of taking back fighters and their families	In marked contrast to other European countries Kosovo has a stated policy of taking back fighters and their families	1	-3	 In[0] marked[0] contrast[0] to[0] other[0] European[0] countries[0] Kosovo[0] has[0] a[0] stated[0] policy[0] of[0] taking[0] back[0] fighters[-2] and[0] their[0] families[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
In materials science two D is the new three D	In materials science two D is the new three D	1	-1	 In[0] materials[0] science[0] two[0] D[0] is[0] the[0] new[0] three[0] D[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
In May two zero one one discussions began secretly in Mexico between a known Los Zetas associate and Quds Force operative Manssor Arbabsiar	In May two zero one one discussions began secretly in Mexico between a known Los Zetas associate and Quds Force operative Manssor Arbabsiar	1	-2	 In[0] May[0] two[0] zero[0] one[0] one[0] discussions[0] began[0] secretly[0] in[0] Mexico[0] between[0] a[0] known[0] Los[0] Zetas[0] associate[0] and[0] Quds[0] Force[-1] operative[0] Manssor[0] Arbabsiar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
In media appearances prior to the two zero one two election Donald Trump repeatedly predicted that then President Barack Obama would start a war with Iran in order to win re election	In media appearances prior to the two zero one two election Donald Trump repeatedly predicted that then President Barack Obama would start a war with Iran in order to win re election	1	-3	 In[0] media[0] appearances[0] prior[0] to[0] the[0] two[0] zero[0] one[0] two[0] election[0] Donald[0] Trump[0] repeatedly[0] predicted[0] that[0] then[0] President[0] Barack[0] Obama[0] would[0] start[0] a[0] war[-2] with[0] Iran[0] in[0] order[0] to[0] win[0] re[0] election[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
In mid October Iranian Major General Qassem Soleimani met with his Iraqi Shi ite militia allies at a villa on the banks of the Tigris River looking across at the US embassy complex in Baghdad	In mid October Iranian Major General Qassem Soleimani met with his Iraqi Shi ite militia allies at a villa on the banks of the Tigris River looking across at the US embassy complex in Baghdad	1	-1	 In[0] mid[0] October[0] Iranian[0] Major[0] General[0] Qassem[0] Soleimani[0] met[0] with[0] his[0] Iraqi[0] Shi[0] ite[0] militia[0] allies[0] at[0] a[0] villa[0] on[0] the[0] banks[0] of[0] the[0] Tigris[0] River[0] looking[0] across[0] at[0] the[0] US[0] embassy[0] complex[0] in[0] Baghdad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
In ordering the drone strike that killed Irans top security commander Mr Trump challenged predictions it could lead to a wider war in the Middle East	In ordering the drone strike that killed Irans top security commander Mr Trump challenged predictions it could lead to a wider war in the Middle East	2	-4	 In[0] ordering[0] the[0] drone[0] strike[-1] that[0] killed[-3] Irans[0] top[0] security[1] commander[0] Mr[0] Trump[0] challenged[-1] predictions[0] it[0] could[0] lead[0] to[0] a[0] wider[0] war[-2] in[0] the[0] Middle[0] East[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
In Taika Waititis film just like in todays America people who think terrible things dont always look like the deeply flawed adults you expect them to be	In Taika Waititis film just like in todays America people who think terrible things dont always look like the deeply flawed adults you expect them to be	2	-4	 In[0] Taika[0] Waititis[0] film[0] just[0] like[1][-1 LastWordBoosterStrength] in[0] todays[0] America[0] people[0] who[0] think[0] terrible[-3] things[0] dont[0] always[0] look[0] like[1] the[0] deeply[0] flawed[0] adults[0] you[0] expect[0] them[0] to[0] be[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
In the dog days of two zero one seven when it appeared North Korea and the United States were on the path to war a debate raged in the halls of the White House	In the dog days of two zero one seven when it appeared North Korea and the United States were on the path to war a debate raged in the halls of the White House	1	-4	 In[0] the[0] dog[0] days[0] of[0] two[0] zero[0] one[0] seven[0] when[0] it[0] appeared[0] North[0] Korea[0] and[0] the[0] United[0] States[0] were[0] on[0] the[0] path[0] to[0] war[-2] a[0] debate[0] raged[-3] in[0] the[0] halls[0] of[0] the[0] White[0] House[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
In the face of the bully boy president the prime ministers Brexit experiment must not override open and hone st cooperation with our European allies	In the face of the bully boy president the prime ministers Brexit experiment must not override open and hone st cooperation with our European allies	1	-1	 In[0] the[0] face[0] of[0] the[0] bully[0] boy[0] president[0] the[0] prime[0] ministers Brexit[0] experiment[0] must[0] not[0] override[0] open[0] and[0] hone[0] st[0] cooperation[0] with[0] our[0] European[0] allies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
In the face of warnings from the Pentagon that the hold on military aid to Ukraine could be illegal an official from the Office of Management and Budget made it clear that the order to keep the freeze in place came directly from President Donald Trump accor	In the face of warnings from the Pentagon that the hold on military aid to Ukraine could be illegal an official from the Office of Management and Budget made it clear that the order to keep the freeze in place came directly from President Donald Trump accor	1	-2	 In[0] the[0] face[0] of[0] warnings[0] from[0] the[0] Pentagon[0] that[0] the[0] hold[0] on[0] military[0] aid[0] to[0] Ukraine[0] could[0] be[0] illegal[-1] an[0] official[0] from[0] the[0] Office[0] of[0] Management[0] and[0] Budget[0] made[0] it[0] clear[0] that[0] the[0] order[0] to[0] keep[0] the[0] freeze[0] in[0] place[0] came[0] directly[0] from[0] President[0] Donald[0] Trump[0] accor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
In the hours and days after Qasem Soleimani was killed in a US drone strike his demise was described in various terms President Donald Trump said he had been terminated other US officials talked about a targeted killing and lethal action 	In the hours and days after Qasem Soleimani was killed in a US drone strike his demise was described in various terms President Donald Trump said he had been terminated other US officials talked about a targeted killing and lethal action	1	-4	 In[0] the[0] hours[0] and[0] days[0] after[0] Qasem[0] Soleimani[0] was[0] killed[-3] in[0] a[0] US[0] drone[0] strike[-1] his[0] demise[-1] was[0] described[0] in[0] various[0] terms[0] President[0] Donald[0] Trump[0] said[0] he[0] had[0] been[0] terminated[0] other[0] US[0] officials[0] talked[0] about[0] a[0] targeted[0] killing[-1] and[0] lethal[0] action[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
In the months since office sharing startup WeWorks botched public debut mid and late stage investors in big start ups have been pushing for more safeguards in case their firms fail to go public or sell shares at a lower valuation than pre IPO financing rou	In the months since office sharing startup WeWorks botched public debut mid and late stage investors in big start ups have been pushing for more safeguards in case their firms fail to go public or sell shares at a lower valuation than pre IPO financing rou	2	-3	 In[0] the[0] months[0] since[0] office[0] sharing[0] startup[0] WeWorks[0] botched[0] public[0] debut[0] mid[0] and[0] late[0] stage[0] investors[0] in[0] big[0] start[0] ups[0] have[0] been[0] pushing[0] for[0] more[0] safeguards[1] in[0] case[0] their[0] firms[0] fail[-2] to[0] go[0] public[0] or[0] sell[0] shares[0] at[0] a[0] lower[0] valuation[0] than[0] pre[0] IPO[0] financing[0] rou[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
In the wake of claims that an errant missile fired by Iran brought down a passenger jet earlier this week some Democrats and media voices have appeared to make the case that President Trump at least shares in the blame for the death of one seven six civilians	In the wake of claims that an errant missile fired by Iran brought down a passenger jet earlier this week some Democrats and media voices have appeared to make the case that President Trump at least shares in the blame for the death of one seven six civilians	1	-3	 In[0] the[0] wake[0] of[0] claims[0] that[0] an[0] errant[0] missile[0] fired[-2] by[0] Iran[0] brought[0] down[0] a[0] passenger[0] jet[0] earlier[0] this[0] week[0] some[0] Democrats[0] and[0] media[0] voices[0] have[0] appeared[0] to[0] make[0] the[0] case[0] that[0] President[0] Trump[0] at[0] least[0] shares[0] in the[0] blame[-1] for[0] the[0] death[-2] of[0] one[0] seven[0] six[0] civilians[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
In this CES two zero two zero roundup podcast The Verges Nilay Patel Dieter Bohn Ashley Carman and Sean Kane discuss the most important weird and surprising things from the week including Sonys electric car new streaming service Quibis keynote presentation a	In this CES two zero two zero roundup podcast The Verges Nilay Patel Dieter Bohn Ashley Carman and Sean Kane discuss the most important weird and surprising things from the week including Sonys electric car new streaming service Quibis keynote presentation a	1	-2	 In[0] this[0] CES[0] two[0] zero[0] two[0] zero[0] roundup[0] podcast[0] The[0] Verges[0] Nilay[0] Patel[0] Dieter[0] Bohn[0] Ashley[0] Carman[0] and[0] Sean[0] Kane[0] discuss[0] the[0] most[0] important[0] weird[-1] and[0] surprising[0] things[0] from[0] the[0] week[0] including[0] Sonys[0] electric[0] car[0] new[0] streaming[0] service[0] Quibis[0] keynote[0] presentation[0] a[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
In what appears to be a curious accident Galaxy phone users worldwide have received a mysterious notification from Samsungs Find My Mobile app The alert which several users reported simply reads one  with another one  below it A few hours after the incident Samsung said that the messages were unintentionally sent during an internal test Our own executive editor Dieter Bohn received the notification on his Galaxy Z Flip which he is in the process of testing for review Tapping the alert seemingly does nothing beyond closing the notification shade	In what appears to be a curious accident Galaxy phone users worldwide have received a mysterious notification from Samsungs Find My Mobile ap The alert which several users reported simply reads one  with another one  below it A few hours after the incident Samsung said that the messages were unintentionally sent during an internal test Our own executive editor Dieter Bohn received the notification on his Galaxy Z Flip which he is in the process of testing for review Tapping the alert seemingly does nothing beyond closing the notification shade	1	-2	 In[0] what[0] appears[0] to[0] be[0] a[0] curious[0] accident[-1] Galaxy[0] phone[0] users[0] worldwide[0] have[0] received[0] a[0] mysterious[0] notification[0] from[0] Samsungs[0] Find[0] My[0] Mobile[0] app/ap[0] The[0] alert[0] which[0] several[0] users[0] reported[0] simply[0] reads[0] one[0] with[0] another[0] one[0] below[0] it[0] A[0] few[0] hours[0] after[0] the[0] incident[0] Samsung[0] said[0] that[0] the[0] messages[0] were[0] unintentionally[0] sent[0] during[0] an[0] internal[0] test[0] Our[0] own[0] executive[0] editor[0] Dieter[0] Bohn[0] received[0] the[0] notification[0] on[0] his[0] Galaxy[0] Z[0] Flip[0] which[0] he[0] is[0] in[0] the[0] process[0] of[0] testing[0] for[0] review[0] Tapping[0] the[0] alert[0] seemingly[0] does[0] nothing[0] beyond[0] closing[0] the[0] notification[0] shade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Increase of two seven per cent for most train travellers but North Wales passengers see fares fall	Increase of two seven per cent for most train travellers but North Wales passengers see fares fall	1	-1	 Increase[0] of[0] two[0] seven[0] per[0] cent[0] for[0] most[0] train[0] travellers[0] but[0] North[0] Wales[0] passengers[0] see fares[0] fall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Initial assessments indicate that no Americans were killed in Iranian strikes so President Trump may not feel the pressure to punch back	Initial assessments indicate that no Americans were killed in Iranian strikes so President Trump may not feel the pressure to punch back	1	-4	 Initial[0] assessments[0] indicate[0] that[0] no[0] Americans[0] were[0] killed[-3] in[0] Iranian[0] strikes[0] so[0] President[0] Trump[0] may[0] not[0] feel[0] the[0] pressure[-1] to[0] punch[-1] back[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Inside Business  Huawei might be barred from five G but its masts remain up How long that continues is down to politics rather than security assessments	Inside Business  Huawei might be barred from five G but its masts remain up How long that continues is down to politics rather than security assessments	2	-1	 Inside[0] Business[0]  Huawei might[0] be barred[0] from[0] five[0] G but[0] its masts[0] remain[0] up[0] How[0] long[0] that[0] continues[0] is[0] down[0] to[0] politics rather[0] than[0] security[1] assessments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Insight from Fox News political analyst Gianno Caldwell author of Taken for Granted How Conservatism Can Win Back the Americans that Liberalism Failed 	Insight from Fox News political analyst Gianno Caldwell author of Taken for Granted How Conservatism Can Win Back the Americans that Liberalism Failed	1	-3	 Insight[0] from[0] Fox[0] News[0] political[0] analyst[0] Gianno[0] Caldwell[0] author[0] of[0] Taken[0] for[0] Granted[0] How[0] Conservatism[0] Can[0] Win[0] Back[0] the[0] Americans[0] that[0] Liberalism[0] Failed[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Insight from Louisiana Senator John Kennedy Republican member of the Senate Judiciary Committee	Insight from Louisiana Senator John Kennedy Republican member of the Senate Judiciary Committee	1	-1	 Insight[0] from[0] Louisiana[0] Senator[0] John[0] Kennedy[0] Republican[0] member[0] of[0] the[0] Senate[0] Judiciary[0] Committee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Insight from national security analyst Ryan Mauro Shillman Fellow for the Clarion Project	Insight from national security analyst Ryan Mauro Shillman Fellow for the Clarion Project	2	-1	 Insight[0] from[0] national[0] security[1] analyst[0] Ryan[0] Mauro[0] Shillman[0] Fellow[0] for[0] the[0] Clarion[0] Project[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Inspired by Luna Baileys new book The Modern Witchs Guide to Happiness our columnist Ceri Radford set herself a New Year New Me challenge	Inspired by Luna Baileys new book The Modern Witchs Guide to Happiness our columnist Ceri Radford set herself a New Year New Me challenge	3	-2	 Inspired[2] by Luna[0] Baileys[-1] new[0] book[0] The[0] Modern[0] Witchs[0] Guide[0] to[0] Happiness[2] our[0] columnist[0] Ceri[0] Radford set[0] herself[0] a[0] New[0] Year[0] New[0] Me[0] challenge[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
Intel has brought its own folding PC concept along to CES with a view toward providing inspiration for an entire new category of devices This prototype is called Horseshoe Bend and it has a large one seven three inch flexible OLED screen	Intel has brought its own folding PC concept along to CES with a view toward providing inspiration for an entire new category of devices This prototype is called Horseshoe Bend and it has a large one seven three inch flexible OLED screen	3	-1	 Intel[0] has[0] brought[0] its[0] own[0] folding[0] PC[0] concept[0] along[0] to[0] CES[0] with[0] a[0] view[0] toward[0] providing[0] inspiration[2] for[0] an[0] entire[0] new[0] category[0] of[0] devices[0] This[0] prototype[0] is[0] called[0] Horseshoe[0] Bend[0] and[0] it[0] has[0] a[0] large[0] one[0] seven[0] three[0] inch[0] flexible[0] OLED[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Intel is getting in the graphics game	Intel is getting in the graphics game	1	-1	 Intel[0] is[0] getting[0] in[0] the[0] graphics[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Intelligence that foreshadowed the Iranian attack set off a tense often confusing afternoon in the White House Situation Room	Intelligence that foreshadowed the Iranian attack set off a tense often confusing afternoon in the White House Situation Room	1	-3	 Intelligence[0] that[0] foreshadowed[0] the[0] Iranian[0] attack[-2] set[0] off[0] a[0] tense[-2] often[0] confusing[-1] afternoon[0] in[0] the[0] White[0] House[0] Situation[0] Room[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Intense heat waves have killed more than one zero zero people in India this summer and are predicted to worsen in coming years creating a possible humanitarian crisis as large parts of the country potentially become too hot to be inhabitable	Intense heat waves have killed more than one zero zero people in India this summer and are predicted to worsen in coming years creating a possible humanitarian crisis as large parts of the country potentially become too hot to be inhabitable	1	-4	 Intense[0] heat[0] waves[0] have[0] killed[-3] more[0] than[0] one[0] zero[0] zero[0] people[0] in[0] India[0] this[0] summer[0] and[0] are[0] predicted[0] to[0] worsen[-2] in[0] coming[0] years[0] creating[0] a[0] possible[0] humanitarian[0] crisis[-2] as[0] large[0] parts[0] of[0] the[0] country[0] potentially[0] become[0] too[0] hot[0] to[0] be[0] inhabitable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Interview The Brazilian has also spoken about compatriots Neymar and Philippe Coutinho and their impact and futures at the Nou Camp	Interview The Brazilian has also spoken about compatriots Neymar and Philippe Coutinho and their impact and futures at the Nou Camp	1	-1	 Interview[0] The[0] Brazilian[0] has[0] also[0] spoken[0] about[0] compatriots[0] Neymar[0] and[0] Philippe[0] Coutinho[0] and their[0] impact[0] and[0] futures[0] at[0] the[0] Nou[0] Camp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Investigators searching for a missing Alabama woman who texted she could be in trouble after leaving a bar with two strange men last month said Friday that they had unearthed a female body in a shallow grave according to a report	Investigators searching for a missing Alabama woman who texted she could be in trouble after leaving a bar with two strange men last month said Friday that they had unearthed a female body in a shallow grave according to a report	1	-3	 Investigators[0] searching[0] for[0] a[0] missing[0] Alabama[0] woman[0] who[0] texted[0] she[0] could[0] be[0] in[0] trouble[-1] after[0] leaving[0] a[0] bar[0] with[0] two[0] strange[0] men[0] last[0] month[0] said[0] Friday[0] that[0] they[0] had[0] unearthed[0] a[0] female[0] body[0] in[0] a[0] shallow[-1] grave[-2] according[0] to[0] a[0] report[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Iowa Democrats will caucus Feb three and who wins is anybodys guess	Iowa Democrats will caucus Feb three and who wins is anybodys guess	1	-1	 Iowa[0] Democrats[0] will[0] caucus[0] Feb[0] three[0] and[0] who[0] wins[0] is[0] anybodys[0] guess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Iran admits is unintentionally shot down a Ukrainian passenger plane after days of denial	Iran admits is unintentionally shot down a Ukrainian passenger plane after days of denial	1	-2	 Iran[0] admits[0] is[0] unintentionally[0] shot[-1] down[0] a[0] Ukrainian[0] passenger[0] plane[0] after[0] days[0] of[0] denial[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Iran admitted Saturday that it mistakenly shot down a Ukrainian passenger jet blaming human error and US adventurism for the crash that left one seven six people dead	Iran admitted Saturday that it mistakenly shot down a Ukrainian passenger jet blaming human error and US adventurism for the crash that left one seven six people dead	1	-3	 Iran[0] admitted[0] Saturday[0] that[0] it[0] mistakenly[-1] shot[-1] down[0] a[0] Ukrainian[0] passenger[0] jet[0] blaming[-1] human[0] error[-1] and[0] US[0] adventurism[0] for[0] the[0] crash[0] that[0] left[0] one[0] seven[0] six[0] people[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Iran announced on Sunday it would abandon limitations on enriching uranium taking a further step back from commitments to a two zero one five nuclear deal with six major powers but it would continue to cooperate with the UN nuclear watchdog	Iran announced on Sunday it would abandon limitations on enriching uranium taking a further step back from commitments to a two zero one five nuclear deal with six major powers but it would continue to cooperate with the UN nuclear watchdog	1	-1	 Iran[0] announced[0] on[0] Sunday[0] it[0] would[0] abandon[-1][--1 LastWordBoosterStrength] limitations[0] on[0] enriching[0] uranium[0] taking[0] a[0] further[0] step[0] back[0] from[0] commitments[0] to[0] a[0] two[0] zero[0] one[0] five[0] nuclear[0] deal[0] with[0] six[0] major[0] powers[0] but[0] it[0] would[0] continue[0] to[0] cooperate[0] with[0] the[0] UN[0] nuclear[0] watchdog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Iran attacked two Iraqi military bases housing US troops with more than a dozen ballistic missiles in retaliation for the US killing of Iranian commander Qasem Soleimani Follow here for the latest updates	Iran attacked two Iraqi military bases housing US troops with more than a dozen ballistic missiles in retaliation for the US killing of Iranian commander Qasem Soleimani Follow here for the latest updates	1	-3	 Iran[0] attacked[-2] two[0] Iraqi[0] military[0] bases[0] housing[0] US[0] troops[0] with[0] more[0] than[0] a[0] dozen[0] ballistic[0] missiles[0] in[0] retaliation[-1] for[0] the[0] US[0] killing[-1] of[0] Iranian[0] commander[0] Qasem[0] Soleimani[0] Follow[0] here[0] for[0] the[0] latest[0] updates[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Iran claimed it is not seeking escalation or war This after crossing all red lines by sending militias to attack our embassy in Iraq	Iran claimed it is not seeking escalation or war This after crossing all red lines by sending militias to attack our embassy in Iraq	1	-3	 Iran[0] claimed[0] it[0] is[0] not[0] seeking[0] escalation[0] or[0] war[-2] This[0] after[0] crossing[0] all[0] red[0] lines[0] by[0] sending[0] militias[0] to[0] attack[-2] our[0] embassy[0] in[0] Iraq[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Iran claimed on Thursday that the black boxes of a Ukraine International Airlines UIA flight out of Tehran had their memories damaged	Iran claimed on Thursday that the black boxes of a Ukraine International Airlines UIA flight out of Tehran had their memories damaged	1	-1	 Iran[0] claimed[0] on[0] Thursday[0] that[0] the[0] black[0] boxes[0] of a[0] Ukraine[0] International[0] Airlines[0] UIA[0] flight[0] out[0] of[0] Tehran[0] had[0] their[0] memories[0] damaged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Iran condemned Donald Trump on Sunday as a terrorist in a suit after the US president threatened to hit five two Iranian sites hard if Tehran attacks Americans or US assets in retaliation for the killing of military commander Qassem Soleimani	Iran condemned Donald Trump on Sunday as a terrorist in a suit after the US president threatened to hit five two Iranian sites hard if Tehran attacks Americans or US assets in retaliation for the killing of military commander Qassem Soleimani	1	-3	 Iran[0] condemned[-1] Donald[0] Trump[0] on[0] Sunday[0] as[0] a[0] terrorist[-2] in[0] a[0] suit[0] after[0] the[0] US[0] president[0] threatened[-2] to[0] hit[0] five[0] two[0] Iranian[0] sites[0] hard[0] if[0] Tehran[0] attacks[-2] Americans[0] or[0] US[0] assets[0] in[0] retaliation[-1] for[0] the[0] killing[-1] of[0] military[0] commander[0] Qassem[0] Soleimani[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Iran contemplates one three revenge scenarios to retaliate for the US elimination of terrorist mastermind Qasem Soleimani in Iraq last week	Iran contemplates one three revenge scenarios to retaliate for the US elimination of terrorist mastermind Qasem Soleimani in Iraq last week	1	-3	 Iran[0] contemplates[0] one[0] three[0] revenge[-1] scenarios[0] to[0] retaliate[-1] for[0] the[0] US[0] elimination[-1] of[0] terrorist[-2] mastermind[0] Qasem[0] Soleimani[0] in[0] Iraq[0] last[0] week[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Iran denied on Thursday that a Ukrainian airliner that crashed near Tehran had been hit by a missile Iranian government spokesman Ali Rabiei said in a statement according to state TV	Iran denied on Thursday that a Ukrainian airliner that crashed near Tehran had been hit by a missile Iranian government spokesman Ali Rabiei said in a statement according to state TV	1	-2	 Iran[0] denied[-1] on[0] Thursday[0] that[0] a[0] Ukrainian[0] airliner[0] that[0] crashed[0] near[0] Tehran[0] had[0] been[0] hit[0] by[0] a[0] missile[0] Iranian[0] government[0] spokesman[0] Ali[0] Rabiei[0] said[0] in[0] a[0] statement[0] according[0] to[0] state[0] TV[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Iran fired a number of missiles at two Iraqi bases housing US troops Wednesday in retaliation for the American strike that killed a top Iranian general last week The early morning attack presents President Donald Trump with the biggest test of his presidency	Iran fired a number of missiles at two Iraqi bases housing US troops Wednesday in retaliation for the American strike that killed a top Iranian general last week The early morning attack presents President Donald Trump with the biggest test of his presidency	1	-4	 Iran[0] fired[-2] a[0] number[0] of[0] missiles[0] at[0] two[0] Iraqi[0] bases[0] housing[0] US[0] troops[0] Wednesday[0] in[0] retaliation[-1] for[0] the[0] American[0] strike[-1] that[0] killed[-3] a[0] top[0] Iranian[0] general[0] last[0] week[0] The[0] early[0] morning[0] attack[-2] presents[0] President[0] Donald[0] Trump[0] with[0] the[0] biggest[0] test[0] of[0] his[0] presidency[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Iran fired a number of missiles at two Iraqi bases housing US troops Wednesday local time in retaliation for the American strike that killed a top Iranian general last week presenting President Donald Trump with the biggest test of his presidency to date	Iran fired a number of missiles at two Iraqi bases housing US troops Wednesday local time in retaliation for the American strike that killed a top Iranian general last week presenting President Donald Trump with the biggest test of his presidency to date	1	-4	 Iran[0] fired[-2] a[0] number[0] of[0] missiles[0] at[0] two[0] Iraqi[0] bases[0] housing[0] US[0] troops[0] Wednesday[0] local[0] time[0] in[0] retaliation[-1] for[0] the[0] American[0] strike[-1] that[0] killed[-3] a[0] top[0] Iranian[0] general[0] last[0] week[0] presenting[0] President[0] Donald[0] Trump[0] with[0] the[0] biggest[0] test[0] of[0] his[0] presidency[0] to[0] date[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Iran fired at least a dozen missiles at US facilities in Iraq on Wednesday less than a week after US killed top general	Iran fired at least a dozen missiles at US facilities in Iraq on Wednesday less than a week after US killed top general	1	-4	 Iran[0] fired[-2] at[0] least[0] a[0] dozen[0] missiles[0] at[0] US[0] facilities[0] in[0] Iraq[0] on[0] Wednesday[0] less[0] than[0] a[0] week[0] after[0] US[0] killed[-3] top[0] general[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Iran fired more than a dozen ballistic missiles at Iraqi military bases housing US troops in retaliation for the US killing of Iranian commander Qasem Soleimani Follow here for the latest	Iran fired more than a dozen ballistic missiles at Iraqi military bases housing US troops in retaliation for the US killing of Iranian commander Qasem Soleimani Follow here for the latest	1	-3	 Iran[0] fired[-2] more[0] than[0] a[0] dozen[0] ballistic[0] missiles[0] at[0] Iraqi[0] military[0] bases[0] housing[0] US[0] troops[0] in[0] retaliation[-1] for[0] the[0] US[0] killing[-1] of[0] Iranian[0] commander[0] Qasem[0] Soleimani[0] Follow[0] here[0] for[0] the[0] latest[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Iran formally announces the fifth of its threatened violations of the JCPOA nuclear deal and demands European concessions	Iran formally announces the fifth of its threatened violations of the JCPOA nuclear deal and demands European concessions	1	-3	 Iran[0] formally[0] announces[0] the[0] fifth[0] of[0] its[0] threatened[-2] violations[-1] of[0] the[0] JCPOA[0] nuclear[0] deal[0] and[0] demands[0] European[0] concessions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Iran General Hossein Salami said he seeks revenge against the US that  will be hard firm regrettable decisive and complete 	Iran General Hossein Salami said he seeks revenge against the US that  will be hard firm regrettable decisive and complete	1	-2	 Iran[0] General[0] Hossein[0] Salami[0] said[0] he[0] seeks[0] revenge[-1] against[-1] the[0] US[0] that [0] will[0] be[0] hard[0] firm[0] regrettable[-1] decisive[0] and[0] complete[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Iran had so far denied responsibility for Wednesdays Ukrainian plane crash in which one seven six people died	Iran had so far denied responsibility for Wednesdays Ukrainian plane crash in which one seven six people died	1	-2	 Iran[0] had[0] so[0] far[0] denied[-1] responsibility[0] for[0] Wednesdays[0] Ukrainian[0] plane[0] crash[0] in[0] which[0] one[0] seven[0] six[0] people[0] died[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
