,,,,,,,,,,Sentiment Scores,,,,
Fox News,Fox News,Sen. Lindsey Graham says President Trump has all the authority he needs to respond to Iranian missile attack,The Iranian regime won t change their behavior unless you make them says South Carolina Senator Lindsey Graham Republican chairman of the Senate Judiciary Committee,Conservative,-1,,,,,,,,,
Fox News,Fox News,"Texas church shooting gunman grew angry in past over money requests, visited 'multiple' times, minister says",The man behind the deadly church shooting in Texas†on Sunday had visited the congregation†several times before according to the churchs senior minister who noted the man received food but would get angry when he wasn t given cash,Conservative,-4,,,,,,,,,
Fox News,Fox News,Gutfeld on the July 4th parade,The medias self satisfied outrage is predictable when patriotism raises its old fashione d head,Conservative,-3,,,,,,,,,
Fox News,Fox News,The surprising impact that Californians flooding Texas may have on 2020 election,The most recent Census Bureau data showed that more than eight six zero zero zero California residents moved to Texas in two zero one eight alone and thats raising the question of whether or not they are bringing their politics with them ahead of the two zero two zero presidential election,Conservative,-1,,,,,,,,,
Fox News,Fox News,"Vikings left Greenland because they over-hunted walruses, research claims",The mystery of why the Vikings abandone d their settlements in western Greenland has puzzled historians for hundreds of years New research is shedding light on why they left†the worlds largest island during the one five th century,Conservative,-2,,,,,,,,,
Fox News,Fox News,Patriots‚Äô playoff loss to Titans inspires social media posts ‚Äì including from job seeker Antonio Brown,The New England Patriots stunning two zero one three loss to the Tennessee Titans in Saturdays AFC Wild Card Game quickly brought out the trolls on social media,Conservative,-3,,,,,,,,,
Fox News,Fox News,New York Giants to hire Joe Judge as their next coach: reports,The New York Giants are reportedly set to hire New England Patriots wide receivers and special teams coach Joe Judge as their next head coach,Conservative,-1,,,,,,,,,
Fox News,Brian Flood,New York Times slammed for Taliban leader op-ed: 'Feels like a leaflet flyover',The New York Times is being criticized by many including its own Afghanistan correspondent after publishing an opinion piece Thursday by the deputy leader of the Taliban who is wanted by the US government The opinion piece headlined What We the Taliban Want was written by Sirajuddin Haqqani as the Trump administration is hoping to reach a peace deal with the Taliban that would end Americas longest war and begin the withdrawal of troops from Afghanistan The Taliban said Monday a deal could be signed by the end of February,Conservative,-3,,,,,,,,,
Fox News,Fox News,New York Times op-ed made eerie hypothetical about Soleimani being killed in Baghdad hours before it happened,The New York Times published an eerie opinion piece on Thursday that used a potential attack on Iranian Gen Qassem SoleimanI as a hypothetical scenario hours before the head of the†Islamic Revolutionary Guard Corps elite Quds Force was actually killed in re,Conservative,-4,,,,,,,,,
Fox News,Fox News,Outnumbered: Democrat double standard & McCabe's apology,The Outnumbered team debates Andrew McCabes apology for changing his story about media leaks after pressed the FBI,Conservative,-1,,,,,,,,,
Fox News,Fox News,Trump raises massive cash on impeachment,The Outnumbered team discusses the fundraising numbers of the Democrat candidates versus President Trump as he ends the year with one zero two seven million cash on hand,Conservative,-1,,,,,,,,,
Fox News,Fox News,Trump's red line moment? Sen. Tom Cotton reacts to president calling of retaliatory strikes against Iran,The president is recalibrating his Iran policy after calling off US airstrikes against the regime Republican Sen Tom Cotton weighs in on whats next,Conservative,-2,,,,,,,,,
Fox News,Fox News,"Drone superpower? Iran‚Äôs arsenal of unmanned aerial vehicles should not be underestimated, expert warns",The recent flare up between the US and Iran has thrust Tehrans military capabilities into the spotlight While tensions appear to be de escalating in the region experts have been weighing the potential threat posed by Irans drone firepower,Conservative,-3,,,,,,,,,
Fox News,Fox News,Liz Peek: Pelosi impeachment stunt could boost Biden but infuriate Bernie's army,The speakers latest political maneuver could prove divisive among Democrats,Conservative,-1,,,,,,,,,
Fox News,Fox News,Marc Thiessen: Trump's Iran strategy is working. Pompeo right to call out ex-Obama team members,The Trump administration is succeeding in its efforts to destabilize the regime in Tehran For Obama officials to actively undermine those efforts is disgraceful,Conservative,-4,,,,,,,,,
Fox News,Fox News,Johnny Joey Jones urges an 'all-or-nothing response' to Iran,The Trump administration should either wage war on Iran or pump the brakes and move to talks says Fox News contributor Johnny Joey Jone s former Marine Corps bomb technician,Conservative,-3,,,,,,,,,
Fox News,Fox News,"Up to 4,000 US troops could deploy to Middle East amid Baghdad unrest: officials",The US Armys eight two nd Airborne Divisions alert brigade has been issued orders to deploy rapidly to Kuwait amid the unrest in Baghdad three US defense officials told Fox News on Tuesday,Conservative,-2,,,,,,,,,
Fox News,Nick Givas,"Paratroopers deployed to Middle East after Baghdad attack have returned home, officials say",The US Armys famed eight two nd Airborne Division said eight zero zero paratroopers have returned home to Fort Bragg NC on Thursday after a hasty deployment to the Middle East following the attack on the US Embassy in Baghdad last year The announcement came on the same day the State Department slapped new sanctions on Iran ahead of parliamentary elections on Friday Roughly eight zero zero zero zero US troops remain in the Middle East including aboard warships statione d at sea,Conservative,-3,,,,,,,,,
Fox News,Fox News,Hannity: Iran's mullahs should brace for impact,The US is ready to decimate Irans rogue leaders,Conservative,-2,,,,,,,,,
Fox News,Fox News,USA Today hit for op-ed claiming it was ‚Äòterrifying‚Äô that Texas churchgoers were armed,The USA Today is under fire after publishing an opinion piece on Wednesday arguing its terrifying that Texas churchgoers were armed when Jack Wilson jumped into action†as killed a mass shooter before more lives were lost,Conservative,-4,,,,,,,,,
Fox News,Fox News,"USPS delivery driver violently mistreats package, caught on security camera",The video originally posted on YouTube by Nick Verzilli shows the mailman kicking shoving and throwing box,Conservative,-2,,,,,,,,,
Fox News,Fox News,"White House's 'first snow of the year' tweet confuses Washington,  DC, residents",The White Houses official Twitter handle on Sunday confused residents in Washington DC when it tweeted out a nighttime photograph of the worlds most famous residence behind falling snowflakes with the caption First snow of the year ,Conservative,-2,,,,,,,,,
Fox News,Fox News,Judge Jeanine: Killing Soleimani needed to happen and Trump was the man to do it,The world should be thankful for the removal of the worlds most dangerous terrorist,Conservative,-3,,,,,,,,,
Fox News,Fox News,"FISA selects former Obama admin lawyer, left-wing blogger to oversee FBI's surveillance reforms",The†Foreign Intelligence Surveillance Court FISC has stunned court watchers†by selecting David Kris †a former Obama administration lawyer who has appeared on The Rachel Maddow Show and†written extensively in support†of the FBIs surveillance practices o,Conservative,-2,,,,,,,,,
Fox News,Fox News,"After Soleimani: Celebrations, cyber-attacks and threats to kick US troops out of Iraq",Things are moving very fast but the leaders want the US troops out now one high ranking official who was not authorized to speak on the record†told Fox News,Conservative,-1,,,,,,,,,
Fox News,Fox News,Flight attendant breaks ankle in 7 places when turbulence causes plane to shoot up 500 feet,This airline worker might have had one of the worst trips ever,Conservative,-3,,,,,,,,,
Fox News,Fox News,Trey Gowdy: Trump impeachment trial is not about him. THIS is what Democrats want now,This impeachment exercise is most assuredly about removing someone from office†Its just not about removing Trump from office,Conservative,-1,,,,,,,,,
Fox News,Fox News,Soleimani funeral procession in Baghdad draws thousands of mourners chanting 'America is the Great Satan',Thousands of mourners gathered Saturday for a funeral procession through Baghdad for Irans top general and militant leaders killed in a US airstrike,Conservative,-4,,,,,,,,,
Fox News,Fox News,Time Magazine pummeled for 'guide' meant to help parents explain Soleimani killing to kids,Time Magazine was slammed on Tuesday over a bizarre article meant to help parents explain the significance of the killing of Iranian Gen Qassem Soleimani,Conservative,-2,,,,,,,,,
Fox News,Fox News,"Tom Brady's future comes with question marks, but one NFL broadcaster believes he will play here in 2020",Tom Brady didnt do much to quiet the speculation about his future with the New England Patriots let alone the NFL as a whole after his loss to the Tennessee Titans in the playoffs on Saturday,Conservative,-3,,,,,,,,,
Fox News,Fox News,Media call Trump speech divisive,two cable netwo rks blow off two zero two zero launch,Conservative,-1,,,,,,,,,
Fox News,Fox News,Holocaust survivors respond to AOC's 'concentration camp' comments in new video,two holocaust survivors responded to†Rep Alexandria Ocasio Cortezs D NY†concentration camp comments Saturday and their feelings were resoundingly negative,Conservative,-2,,,,,,,,,
Fox News,Fox News,"Colorado bus carrying church group kills 2, leaves 13 injured",two people were killed and over a dozen were injured when a charter bus carrying a church group ran off a highway in southern Colorado and struck a bridge support according to officials,Conservative,-4,,,,,,,,,
Fox News,Chris Irvine,Women who died inside Mercedes that rolled off Florida ferry were found embracing: report,two women who died inside a submerged Mercedes Benz that rolled off a Florida ferry Tuesday were found embracing in the back seat of the car according to a report Emma Afra six three who lived in Miami Beach was identified as the driver and seven five year old Viviane Brahms of Harrison NY as the passenger Miami Dade police said Wednesday Crews from the US Coast Guard and Miami Dade Fire and Rescue responded to calls of a submerged vehicle in the area of Government Cut a shipping channel between Miami Beach and Fisher Island an exclusive island community around five pm Tuesday the agencies said,Conservative,-1,,,,,,,,,
Fox News,Fox News,"US military had advance warning of Iranian ballistic missile attack, officials say",US military officials were warned about Irans pending ballistic missile strike when the air defense systems went active shortly before the attack was launched a US official in Baghdad told Fox News on Wednesday,Conservative,-3,,,,,,,,,
Fox News,Fox News,Photos taken by US Special Operations forces show aftermath of strike that killed Soleimani,US Special Operations forces on the ground in Iraq were following a convoy carrying Iranian Gen Qassem Soleimani when it was struck by an American drone last week killing Soleimani and nine others Fox News has learned,Conservative,-2,,,,,,,,,
Fox News,Fox News,"Exclusive video: Lara Logan cornered by Mexican police, threatened while investigating sex-traffickers' city",Veteran war correspondent†Lara†Logan†was confronted and cornered by Mexican police and threatened with the prospect of violence†while filming a new episode of Fox Nation series No Agenda with Lara Logan ,Conservative,-3,,,,,,,,,
Fox News,Fox News,Mike Pence: No doubt Iranians intended to kill Americans,Vice President Mike Pence tells Brian Kilmeade we d be in a very different place today if Iranian missiles hit their intended targets,Conservative,-2,,,,,,,,,
Fox News,Fox News,"The reinvention of Ralph Northam: Scandal-scarred guv woos left with focus on gun control, race issues",Virginia Gov Ralph Northam was on the brink of political banishment last year when an old yearbook photo featuring blackface and a KKK costume led to calls for his resignation but nearly a year later he appears to be not only surviving but thriving,Conservative,-2,,,,,,,,,
Fox News,Fox News,The countdown to the Iowa caucuses,Wall Street Journal and Fox News contributor Jason Riley reacts to Sen Bernie Sanders potentially becoming the front runner for the Democratic nomination,Conservative,-1,,,,,,,,,
Fox News,Fox News,Ron Howard's anti-Trump tweet draws response from Parkland dad Andrew Pollack,What is†Hollywood filmmaker†Ron Howard who recently criticized President Trump†in a Twitter message going to do when the president inevitably wins reelection later this year? Thats what†Andrew Pollack father of one of the one seven victims of the†Parkland F,Conservative,-2,,,,,,,,,
Fox News,Fox News,"Stephanie Grisham, Melania Trump's spokeswoman, named White House press secretary: What to know",What to know about Stephanie Grisham the new White House press secretary,Conservative,-1,,,,,,,,,
Fox News,Fox News,US drone strike kills Iranian General Qassem Soleimani,WhiteFox Defense Strategic Advisor and drone expert Brett Velicovich discusses the operation and mission of the airstrike that hit General Qassem Soleimani,Conservative,-1,,,,,,,,,
Fox News,Fox News,Are recession fears on the backburner for 2020?,Will stocks continue to rise in the new year after ending two zero one nine on a high note Chairman and CEO of Strategas Research Partners Jason Trennert offers his predictions,Conservative,-1,,,,,,,,,
Fox News,Fox News,'Last Man Standing' star Tim Allen: 'We just don't make fun of stuff... except liberals',With the new year now here so too is the return of Last Man Standing,Conservative,-1,,,,,,,,,
Fox News,Fox News,17-year-old NASA intern makes stunning discovery,Wolf Cukier a student from Scarsdale High School in New York was just three days into a summer internship at NASA when he made a remarkable discovery,Conservative,-1,,,,,,,,,
Fox News,Fox News,Brett Velicovich on the drone that took down Soleimani: 'You only get one shot',You only get one shot while taking on a target like Iranian General Qassem Soleimani†Drone expert Brett Velicovich said Saturday,Conservative,-2,,,,,,,,,
Huffington Post,"Sanjana Karanth, Dominique Mosbergen, and Nina Golgowski",9 Killed In Suspected ëXenophobicí Shootings In Germany The suspect and his mother were also found dead at home after the shootings at two hookah bars in the western German city of Hanau.,A gunman killed several people and left at least five others wounded in the German city of Hanau on Wednesday evening in what officials say was a xenophobic attack At least nine people were killed in shootings at two hookah bars in different parts of the southwestern German city near Frankfurt according to regional public broadcaster Hessischer Rundfunk two more people including the suspect were later found dead at the suspects home authorities said Peter Beuth interior minister of the German state of Hesse said Thursday that the second fatality was the suspects seven two year old mother,Liberal,-4,,,,,,,,,
Huffington Post,Molly Redden,Bloomberg Says Women ëGet Paid Exactly The Same As Mení At His Company. They Donít.  he company that made Michael Bloomberg his billions has told government watchdogs it hires fewer women and pays them less than men.,At Wednesday nights Democratic primary debate as Michael Bloomberg took a bludgeoning for the mistreatment of women at the company that made him a billionaire the former New York City mayor mounted this defense of himself Let me tell you what I do at my company and my foundation and in city government when I was there he said In my foundation the person that runs its a woman seven zero percent of the people there are women In my company lots and lots of women have big responsibilities They get paid exactly the same as men And in my City Hall the top person my deputy mayor was a woman and four zero percent of our commissione rs were women But Bloombergs assertion that men and women are paid equally at his company the financial software giant Bloomberg LP is false Thats according to the companys own disclosures In the United Kingdom where Bloomberg LP employs several thousand workers women earn two one nine percent less than men in terms of their median hourly wage Women occupy only one in five of the top quarter of the highest paying jobs the representation of women is largest in the bottom quarter of jobs,Liberal,-1,,,,,,,,,
Huffington Post,Emily Peck,Susan Fowler Perfectly Illustrates Why You Shouldnít Silence Women The Uber whistleblowerís new book offers powerful evidence of what happens when a woman can speak openly about sexual harassment.,Before Susan Fowler then two five took down the CEO of Uber with a blog post exposing the companys toxic sexist culture shed already overcome some daunting obstacles The daughter of an evangelical preacher she grew up dirt poor in rural Arizona Fowler writes in a new memoir Whistleblower She and her six siblings were homeschooled until their mother was forced to go back to work Fowler then taught herself at night with a curriculum she designed while working at less than minimum wage jobs during the day She landed a full scholarship to Arizona State University and from there elbowed her way into a transfer to the Ivy League Yet theres one obstacle that she hasnt been able to get around Fowler writes And thats sexism Multiple incidents of humiliation gaslighting and retaliation during her time in college and then at a series of Silicon Valley startups culminated with her very strange year at Uber ,Liberal,-3,,,,,,,,,
Huffington Post,Jillian Mock,"Corporations Are Waking Up To The Climate Crisis, But Itís Not Enough",Corporations want to be the new climate saviors The idea may seem contradictory given that fossil fuel capitalism is largely responsible for driving the world toward this crisis Yet in headline after headline companies are trying to take on a more heroic role by announcing sweeping ambitious climate plans As the consequences of the climate crisis are becoming clearer and the public is becoming more aware of them there seems to have been a shift in the business world Larry Fink founder and chief executive of Wall Street giant BlackRock wrote in his two zero two zero letter to industry CEOs Climate change has become a defining factor in companies long term prospects I believe we are on the edge of a fundamental reshaping of finance Finks concern about climate change reflects a broader awakening in the corporate community to the risks and opportunities posed by our warming world More than two zero zero companies including Apple and Coca Cola have now pledged to get all of their energy from renewables Microsoft recently set out a plan to become carbon negative by two zero three zero and to remove from the atmosphere all the carbon the company has emitted since its founding by the year two zero five zero Oil giant BP announced plans to go net zero by two zero five zero Amazon pledged to go carbon neutral by two zero four zero and Goldman Sachs recently announced it would stop funding Arctic drilling,Liberal,-3,,,,,,,,,
Huffington Post,Amy Russo,Trump Refuses To Guarantee No Shutdown Over Impeachment: 'We'll See',Depends on what the negotiation is the president said I wouldnt commit to anything,Liberal,-1,,,,,,,,,
Huffington Post,Juliet james,"This Is What Life Is Really Like When You Weigh Over 400 Pounds ìIíve spent almost three decades hearing I am a ticking time bomb and that Iíd be dead by 30 and I am deeply, profoundly tired of it.î",I am an infinifat person I prefer this term than the medically meaningless and offensive morbidly obese most would use to describe my body At almost four four I have spent nearly three decades weighing over three zero zero pounds My lowest adult weight was three two five pounds in June of two zero zero zero It took extreme food restriction plus a lot of walking I lived in New York City to get me to that number from a starting point of three eight zero pounds roughly one eight months earlier There was also a lot of weight cycling AKA yo yo dieting during that time My behaviors were far from healthy despite my weight loss being lauded by the people who even noticed it as evidence that I was working to be healthier Ha Not so much I was working to be thin and if you dont think theres a difference you are deeply mistaken Thinness at any cost will not make a person healthy but thats exactly what society wants from fat people In the nine months that followed that one off sighting of three two five on my scale I gained seven five pounds back I am currently at four four five pounds,Liberal,-3,,,,,,,,,
Huffington Post,Nina Golgowski,Missing New Hampshire Couple Found Buried On Texas Beach,James and Michelle Butler had been traveling the country in their RV when they vanished last month Their deaths are being investigated as homicides,Liberal,-3,,,,,,,,,
Huffington Post,AP,Kenya's Geoffrey Kamworor Wins 2nd NYC Marathon Title In 3 Years,Joyciline Jepkosgei also of Kenya dethrone d four time champion Mary Keitany to win the womens title,Liberal,-1,,,,,,,,,
Huffington Post,Hayley Miller,ëMedia Malpractice:í Las Vegas Mass Shooting Largely Ignored During Democratic Debate Moderators didnít ask a single question about guns during a debate in the city where 58 people were killed in the deadliest mass shooting in U.S. history.,Moderators for the Democratic debate in Las Vegas on Wednesday failed to ask a single question about gun violence despite the events proximity to the deadliest mass shooting in modern US history The debate hosted by NBC News MSNBC and The Nevada Independent ran two hours and covered a spate of topics including climate change health care and Sen Amy Klobuchars D Minn now infamous Mexico flub But the issue of gun safety went noticeably unaddressed by the moderators as the debate held in the strips Paris Theater unfolded less than four miles from the site of the two zero one seven Route nine one Harvest music festival massacre Some five eight people were killed and more than four zero zero others injured when a gunman opened fire on the country music festival from across the street in a hotel room at the Mandalay Bay Resort Casino Police never determined the shooters motive,Liberal,-4,,,,,,,,,
Huffington Post,Carla Herreria,Mick Mulvaney's Top Aide Refuses To Testify In Impeachment Inquiry,Robert Blair Mulvaneys senior national security adviser was on Trumps call with the president of Ukraine that prompted the whistleblower complaint,Liberal,-2,,,,,,,,,
Huffington Post,Sebastian Murdoch,"Roger Stone Sentenced To 40 Months For Lying To Congress, Witness Tampering The longtime ally of President Donald Trump was convicted of lying to Congress and witness tampering.",Roger Stone a political consultant and longtime ally to President Donald Trump was sentenced to four zero months on Thursday after being convicted of lying to Congress and witness tampering Prosecutors initially recommended a sentence of seven to nine years in federal prison for Stone but Attorney General William Barr had other ideas Earlier this month Department of Justice leadership took the unprecedented step of walking back federal prosecutors sentencing recommendation shortly after a two am Trump tweet whining that it was a horrible and very unfair situation for Stone The entire prosecution team resigned after the DOJs new recommendation on Stone s sentencing ,Liberal,-4,,,,,,,,,
Huffington Post,"Amanda Terkel, Zach Carter, and Kevin Robillard","Finally, The Real Elizabeth Warren Steps Up The gloves came off at the Democratic primary debate in Vegas.",Sen Elizabeth Warren D Mass has been playing nice She has emphasized unity instead of attacking other Democratic presidential candidates She has stuck to her campaign themes instead of criticizing oppone nts And she has been sliding steadily downward in the polls for the two zero two zero Democratic nomination That changed Wednesday night at the Democratic debate Id like to talk about who were running against a billionaire who calls women fat broads and ëhorse faced lesbians Warren said in her opening comments And no Im not talking about Donald Trump Im talking about Mayor Bloomberg Again and again on Wednesday night Warren humiliated former New York City Mayor Michael Bloomberg ? not only by presenting him with his own words but also by pressing him to release an unknown number of women who worked for him from nondisclosure agreements pertaining to sexual harassment Bloomberg refused But Bloomberg wasnt the only source of her ire In less than a minute she pummeled three other oppone nts ? former South Bend Indiana Mayor Pete Buttigieg Sen Amy Klobuchar Minn and Sen Bernie Sanders I Vt ? on health care ,Liberal,-3,,,,,,,,,
Huffington Post,Zach Carter,"For Elizabeth Warren, The Wealth Tax Is About More Than Money",The feud between Warren and economist Larry Summers is a reckoning with the Democratic Partys relationship with the super rich,Liberal,-3,,,,,,,,,
Huffington Post,Sanjana Karanth,"The 2020 Democratic Debate In Nevada Was The Most Watched In History NBCís feisty debate in Las Vegas averaged more than 19.6 million television viewers and 13.5 million live streams, according to the network.",The ninth Democratic debate of the two zero two zero presidential election was the most watched in history host NBC announced Thursday The netwo rks debate ? which aired Wednesday from six to eight pm local time from Las Vegas ? averaged more than one nine six million television viewers making it the most watched Democratic debate in history according to NBC That number includes five three million viewers in the two five five four age range which NBC said also made Wednesdays event the top rated Democratic debate ever in that key demographic NBCs digital performance also exceeded any of the netwo rks major political live events since the two zero one six election the netwo rk said in a press release The debate live stream generated one three five million live video streams and nearly two two million video views across all platforms including NBCNewscom MSNBCcom NBC News NOW on OTT devices Facebook Twitter and YouTube The digital streams translate to an average audience of four one seven K viewers NBC said the netwo rk got the numbers from Nielsen Fast National Data,Liberal,-1,,,,,,,,,
Huffington Post,Amy Russo,Trump Pushes Media To Unmask Whistleblower: 'You Know Who It Is',The president provided no evidence that reporters know the identity of the whistleblower,Liberal,-1,,,,,,,,,
Huffington Post,Amy Russo,Trump Dismisses Support For Impeachment: 'I Have The Real Polls',The president scoffed at several mainstream media polls showing that nearly half of Americans support his ouster,Liberal,-2,,,,,,,,,
Huffington Post,Amy Russo,Kellyanne Conway: 'I Don't Know' Whether There Was A Quid Pro Quo With Ukraine,The White House counselor said she was unaware of whether US aid was being held and for how long from Ukraine,Liberal,-1,,,,,,,,,
Huffington Post,Marina fang,"Michael Bloomberg Said NDAs Are ëFor Everybodyís Interests.í Heís Dead Wrong. In a disastrous exchange during his Democratic debate debut, the former New York City mayor defended his use of nondisclosure agreements.",Wednesday nights debate was by and large a trainwreck for former New York City Mayor Michael Bloomberg with his two zero two zero Democratic presidential oppone nts leaving no stone unturned in launching attacks at him taking turns highlighting everything from his racist policies as mayor to his recent transphobic comments to his alleged history of sexism and misogyny at his media company Central to the latter is Bloomberg and his companys use of nondisclosure agreements to silence women who made sexual harassment and gender discrimination claims the subject of one of the nights most fiery exchanges When Sen Elizabeth Warren D Mass asked if Bloomberg would release the women from the NDAs the former mayor repeatedly hemmed and hawed before ultimately declining to do so Along the way he defended the use of nondisclosure agreements by implying they were mutually beneficial,Liberal,-3,,,,,,,,,
Independent,Chris Riotta,Why this Alabama-based 'proud American Muslim' likes the sound of Buttigieg or Yang for president, I feel its ironic having a bully as president ,Neutral,-2,,,,,,,,,
Independent,Emin Pasha,"Inside the UN, diplomats are losing sleep over Trump's assassination of Soleimani",A cynical president thinks of war as a good electoral strategy An optimistic president would have a game plan for stability in the Middle East A pragmatic president would start talking to allies But none of these are Trump,Neutral,-3,,,,,,,,,
Independent,Vincent Wood,London mosque stabbing: Man arrested after attacking worshipper while he prays ,A man has been arrested on suspicion of attempted murder after a stabbing inside a central London mosque The victim in his seven zero s was injured in an attack at the London Central Mosque near Regents Park which police are not treating as terror related He was taken to hospital by paramedics where his condition has been assessed as non life threatening A two nine year old man was apprehended by worshippers who broke from prayer to restrain him until police arrived In a statement the mosque said the injured man was the muazzin the person who makes the call to prayer and he had been stabbed shortly after one five zero zero GMT during afternoon prayer,Liberal,-4,,,,,,,,,
Independent,Marja Makarow,Finland's new woman PM is spearheading youth-led centrism. But will the rest of Europe follow her lead?,A mortar was launched inside Baghdads Jadriya neighborhood on Saturday and wounded five people police sources told Reuters,Neutral,-2,,,,,,,,,
Independent,Tom Embury-Dennis,"Germany mass shooting: Gunman was eugenicist, manifesto shows",A suspected right wing extremist shot dead nine people some of them migrants from Turkey in an overnight rampage through a German city before killing himself officials said Chancellor Angela Merkel condemned the attack on two shisha bars in Hanau near Frankfurt She told reporters it appeared to have been motivated by the poison of racism that was to blame for too many crimes as Turkish officials called on her government to respond robustly,Liberal,-3,,,,,,,,,
Independent,Graig Grazios,US military truck caught on camera ramming Russian jeep off the road in Syria,A video circulating on Twitter shows US military forces in Syria running a Russian military vehicle off the road The footage appears to be from inside of a civilian vehicle The driver is riding alongside a convoy of military vehicles primarily flying Russian flags At the head of the line are a pair of American vehicles an M ATV mine resistant vehicle sometimes called an MRAP and an MRAP truck The driver of the civilian vehicle cuts into the convoy line behind the American vehicles presumably to allow oncoming traffic to pass in the left lane When the driver pulls back out to continue trying to pass the convoy the camera reveals what The Drive reports is a Russian four xfour Tigr truck trying to pass the American vehicles on their right ,Neutral,-1,,,,,,,,,
Independent,Adam White,"19 films to look out for in 2020, from horror film Antebellum to Marvel‚Äôs The Eternals",Adam White and Jacob Stolworthy look forward to new films from Christopher Nolan Sofia Coppola and Wes Anderson plus the return of zero zero seven ,Neutral,-1,,,,,,,,,
Independent,Rob Merrick,Boris Johnson accused of repeating ‚Äòlies‚Äô about Brexit and NHS in new year message,Address issued as prime minister enjoys luxury Caribbean break with his girlfriend staying in a reputed £four zero zero zero zero a week villa,Neutral,-1,,,,,,,,,
Independent,Geoffrey Macnab,How Hollywood star Jean Seberg was destroyed by the FBI,After a biopic about the troubled actor premiered in Venice starring Kristen Stewart†Geoffrey Macnab†looks back at one of the strangest and most contradictory film careers of the postwar years,Neutral,-2,,,,,,,,,
Independent,Roisin O'Connor,Why elder statesmen such as Terry Gilliam need to grow up ‚Äì not just grow old,After the Monty Python star made a series of provocative comments to The Independent Roisin Connor wonders if the bitterness of certain disgruntled stars will end up destroying their own legacies,Neutral,-3,,,,,,,,,
Independent,Alexandra Pollard,Terry Gilliam: ‚ÄòI‚Äôm tired of white men being blamed for everything wrong with the world‚Äô,After two decades of trying the director and former Monty Python member has finally managed to make The Man Who Killed Don Quixote But hed rather talk to Alexandra Pollard about MeToo the trials of being a white man and why hes decided to become a b,Neutral,-4,,,,,,,,,
Independent,Jon Sharman,"Iran news ‚Äì live: US citizens urged to leave Iraq, as Tehran and allies vow revenge after top general Qassem Soleimani killed",Airstrike†has totally unknowable consequences warns former UK minister,Neutral,-1,,,,,,,,,
Independent,Jacob Stolworthy,Golden Globes 2020 ‚Äì live updates: Hollywood stars stream onto red carpet as Ricky Gervais prepares to host ceremony,All the big moments as the nominees prepare for the main event,Neutral,-1,,,,,,,,,
Independent,Alexandra Pollard,Love Island ‚Äì live: Amber locks heads with Danny for picking Arabella over Yewande,All the latest from Spanish villa,Neutral,-1,,,,,,,,,
Independent,Roisin O'Connor,Love Island - live: Nas is first boy to arrive at the villa as contestants couple up,Among this years singles are celebrity siblings landowners and police officers,Neutral,-1,,,,,,,,,
Independent,Ed Power,Will the 2020s be just as roaring?,As a new decade begins Ed Power is reminded of how quickly a century slips by In one nine two zero the global economy was recovering technological wonders were revolutionising peoples lives and the far right was on the march Sounds familiar,Neutral,-2,,,,,,,,,
Independent,Rose Stokes,How can we reform the criminal justice system to protect rape victims?,As the case of a teenager convicted of lying about being gang raped in Cyprus†dominates global headlines Rose Stokes speaks to survivors†in the UK where many will never see justice,Neutral,-4,,,,,,,,,
Independent,Adam White,"Golden Globes 2020 predictions: Who will win, who should win, and who didn‚Äôt get a look-in?",As the most surreal of all the awards shows approaches Adam White trawls through the nominees and makes his forecast,Neutral,-1,,,,,,,,,
Independent,Andrew Grice,Iran will force Boris Johnson to decide which is the more special relationship ‚Äì the EU or the US,As trade talks open and the Iran crisis intensifies the choice between Britains two closest allies is becoming increasingly stark,Neutral,-3,,,,,,,,,
Independent,Richard Jolly,Sergio Aguero fires his way into the history books as Manchester City hammer Aston Villa,Aston Villa one six Manchester City The Argentine scored a hat trick his one two th for the visitors to become the Premier Leagues top scoring foreign player,Neutral,-2,,,,,,,,,
Independent,Will Kirby,20 pledges for 2020: Why I‚Äôve decided to start cycling to work,At best Ill get fit rediscover a long lost hobby and do my bit to tackle the growing climate crisis At worst Ill end up with a broken leg and a wardrobe full of Lycra says Will Kirby,Neutral,-3,,,,,,,,,
Independent,Andrew Buncombe,Iran admits it shot down Ukraine passenger jet by accident,Authorities in Tehran blame human error,Neutral,-2,,,,,,,,,
Independent,Andy Gregory,‚ÄòApologise and resign‚Äô: Teargas fired as anti-government protests grip Iran after plane crash cover-up,Authorities likely to fear resurgence of major unrest†gripping country before Soleimanis†death,Neutral,-4,,,,,,,,,
Independent,James Moore,Ballpark figures... baseball‚Äôs problem with fair salaries,Beneath†superstar level things are getting cold James Moore finds out where the mone y has gone for younger players,Neutral,-2,,,,,,,,,
Independent,Jon Stone,Labour leadership: Jess Phillips and Lisa Nandy launch campaigns to succeed Jeremy Corbyn,Both appeal to restore trust as MPs mark third and four th candidates to enter race,Neutral,-1,,,,,,,,,
Independent,David Phelan,8 best men's electric razors,Care for your chin with the best of the best,Neutral,-1,,,,,,,,,
Independent,Jane Dalton,"Australia fires emergency must be tackled urgently, world leaders warn as country braces for worse to come",Catastrophe forces tens of thousands flee homes†cuts water supplies to towns and†wipes out half a billion animals in hell on Earth ,Neutral,-4,,,,,,,,,
Independent,Simon Calder,Is Dubai safe? Latest travel advice for Middle East as Iran tensions escalate,Changing planes in Dubai Doha or Abu Dhabi? Holiday in the†UAE†or Oman? On a cruise to or from the Gulf?,Neutral,-1,,,,,,,,,
